family,tip_label,image_dir,tree_species,fishbase_query,fishbase_resolved,note
halichoerine,Ophthalmolepis_lineolataF91,Ophthalmolepis_lineolata,Ophthalmolepis_lineolata,Ophthalmolepis lineolata,,
halichoerine,Coris_atlantica_F232,Coris_atlantica,Coris_atlantica,Coris atlantica,,
halichoerine,Coris_julisF235,Coris_julis,Coris_julis,Coris julis,,
halichoerine,Hologymnosus_annulatusF220,Hologymnosus_annulatus,Hologymnosus_annulatus,Hologymnosus annulatus,,
halichoerine,Hologymnosus_doliatusF83,Hologymnosus_doliatus,Hologymnosus_doliatus,Hologymnosus doliatus,,
halichoerine,Hologymnosus_longipesF395,Hologymnosus_longipes,Hologymnosus_longipes,Hologymnosus longipes,,
halichoerine,Coris_aygulaF269,Coris_aygula,Coris_aygula,Coris aygula,,
halichoerine,Coris_bulbifronsF274,Coris_bulbifrons,Coris_bulbifrons,Coris bulbifrons,,
halichoerine,Coris_flavovittataF184,Coris_flavovittata,Coris_flavovittata,Coris flavovittata,,
halichoerine,Coris_pictaF245,Coris_picta,Coris_picta,Coris picta,,
halichoerine,Coris_sandeyeriF51,Coris_sandeyeri,Coris_sandeyeri,Coris sandeyeri,,
halichoerine,Coris_caudimaculaF310,Coris_caudimacula,Coris_caudimacula,Coris caudimacula,,
halichoerine,Coris_venustaF147,Coris_venusta,Coris_venusta,Coris venusta,,
halichoerine,Coris_roseoviridisF340,Coris_roseoviridis,Coris_roseoviridis,Coris roseoviridis,,
halichoerine,Coris_hewettiF185,Coris_hewetti,Coris_hewetti,Coris hewetti,,
halichoerine,Coris_cuvieriF332,Coris_cuvieri,Coris_cuvieri,Coris cuvieri,,
halichoerine,Coris_marquesensisF186,Coris_marquesensis,Coris_marquesensis,Coris marquesensis,,
halichoerine,Coris_gaimard_F234,Coris_gaimard,Coris_gaimard,Coris gaimard,,
halichoerine,Coris_formosaF233,Coris_formosa,Coris_formosa,Coris formosa,,
halichoerine,Pseudocoris_heteropteraF198,Pseudocoris_heteroptera,Pseudocoris_heteroptera,Pseudocoris heteroptera,,
